split,config,strategy,day,daily_return,gross_return,avg_turnover,avg_abs_position,n_tickers,equity
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-02,-0.04954881860807203,-0.04704881860807203,1.0,1.0,2,0.950451181391928
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-03,0.02687626774847862,0.02687626774847862,0.0,1.0,2,0.9759957618248752
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-06,-0.0024131274131273805,-0.0024131274131273805,0.0,1.0,2,0.9736405596969195
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-07,-0.20188198154443898,-0.20188198154443898,0.0,1.0,2,0.7770800741932687
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-08,-0.10785164726770574,-0.10785164726770574,0.0,1.0,2,0.6932707081326137
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-10,-0.08130081300813008,-0.08130081300813008,0.0,1.0,2,0.6369072359267102
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-13,0.00520833333333337,0.00520833333333337,0.0,1.0,2,0.6402244611138286
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-14,0.0807560137457044,0.0807560137457044,0.0,1.0,2,0.6919264364958732
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-15,-0.0562130177514793,-0.0562130177514793,0.0,1.0,2,0.6530311634384128
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-16,0.031807909604519735,0.031807909604519735,0.0,1.0,2,0.6738027196539963
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-17,-0.0507165605095542,-0.0507165605095542,0.0,1.0,2,0.6396297632511622
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-21,-0.010197465369879144,-0.010197465369879144,0.0,1.0,2,0.6331071608908645
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-22,0.002377942327373539,0.002377942327373539,0.0,1.0,2,0.6346126532065102
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-23,0.9854386385426653,0.9854386385426653,0.0,1.0,2,1.259984482184282
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-24,-0.025498405103668242,-0.025498405103668242,0.0,1.0,2,1.2278568874332116
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-27,0.09822590804115044,0.09822590804115044,0.0,1.0,2,1.3484642451459197
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-28,0.025914794896129967,0.025914794896129967,0.0,1.0,2,1.383409419483641
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-29,0.0345432272788293,0.0345432272788293,0.0,1.0,2,1.4311968454805377
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-30,-0.0327339316870745,-0.0327339316870745,0.0,1.0,2,1.3843481457098212
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-01-31,0.06595153962645128,0.06595153962645128,0.0,1.0,2,1.4756480372984067
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-03,-0.06850075795098082,-0.06850075795098082,0.0,1.0,2,1.3745650282745885
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-04,0.06548780487804873,0.06548780487804873,0.0,1.0,2,1.4645822746384243
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-05,-0.07610146862483314,-0.07610146862483314,0.0,1.0,2,1.3531254126165415
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-06,-0.12791874503000078,-0.12791874503000078,0.0,1.0,2,1.1800353079664316
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-07,-0.0013767942583731707,-0.0013767942583731707,0.0,1.0,2,1.178410642129746
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-10,-0.04684104748477669,-0.04684104748477669,0.0,1.0,2,1.1232126532851803
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-11,-0.035673607196610835,-0.035673607196610835,0.0,1.0,2,1.0831436062936217
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-12,-0.0693764395386644,-0.0693764395386644,0.0,1.0,2,1.0079989593799012
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-13,0.016241285894650292,0.016241285894650292,0.0,1.0,2,1.0243701586607004
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-14,-0.13540135941220144,-0.13540135941220144,0.0,1.0,2,0.8856690466367491
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-18,-0.009743213804792539,-0.009743213804792539,0.0,1.0,2,0.8770397837550804
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-19,-0.04204371149546837,-0.04204371149546837,0.0,1.0,2,0.8401657761168339
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-20,0.07339318151241936,0.07339318151241936,0.0,1.0,2,0.9018282154238993
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-21,-0.10037181803526835,-0.10037181803526835,0.0,1.0,2,0.8113100778863009
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-24,-0.056656557449164924,-0.056656557449164924,0.0,1.0,2,0.7653440418494493
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-25,-0.05289631219784635,-0.05289631219784635,0.0,1.0,2,0.7248601644730193
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-26,-0.005316501427566955,-0.005316501427566955,0.0,1.0,2,0.7210064443738121
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-27,-0.26394736842105265,-0.26394736842105265,0.0,1.0,2,0.5306986907667243
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-02-28,-0.3501020408163265,-0.3501020408163265,0.0,1.0,2,0.34489999607074157
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-03,-0.1409539412760059,-0.1409539412760059,0.0,1.0,2,0.2962849822784916
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-04,0.03324217040223365,0.03324217040223365,0.0,1.0,2,0.306134138147016
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-05,-0.09494563007889756,-0.09494563007889756,0.0,1.0,2,0.27706803951198733
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-06,0.0782393150960139,0.0782393150960139,0.0,1.0,2,0.2987456531584005
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-07,-0.009636730575176666,-0.009636730575176666,0.0,1.0,2,0.29586672178840784
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-10,-0.0560227141005219,-0.0560227141005219,0.0,1.0,2,0.27929146502179725
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-11,-0.009131380848053594,-0.009131380848053594,0.0,1.0,2,0.2767411482870724
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-12,-0.03947779862414008,-0.03947779862414008,0.0,1.0,2,0.26581601696398205
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-13,0.049361365621804265,0.049361365621804265,0.0,1.0,2,0.27893705856547285
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-14,0.04843411312728363,0.04843411312728363,0.0,1.0,2,0.2924471276154247
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-17,0.03339260853363313,0.03339260853363313,0.0,1.0,2,0.302212700064672
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-18,-0.06917741506235403,-0.06917741506235403,0.0,1.0,2,0.2813064066751835
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-19,0.012627786291553478,0.012627786291553478,0.0,1.0,2,0.2848586838611225
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-20,-0.02536454580773828,-0.02536454580773828,0.0,1.0,2,0.277633372725595
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-21,-0.07235318717526296,-0.07235318717526296,0.0,1.0,2,0.2575457133426805
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-24,-0.05547207103844298,-0.05547207103844298,0.0,1.0,2,0.24325911923648885
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-25,0.06937590505699326,0.06937590505699326,0.0,1.0,2,0.26013544079688733
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-26,0.06316447779862411,0.06316447779862411,0.0,1.0,2,0.27656676007173764
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-27,-0.03710084033613442,-0.03710084033613442,0.0,1.0,2,0.2663059008640341
oos-2025-followups,news_off_n100,buy_hold_equal_weight,2025-03-28,0.0012653353491007269,0.0012653353491007269,0.0,1.0,2,0.2666428671340715
oos-2025-followups,news_off_n100,flow_unweighted,2025-01-02,-0.04954881860807203,-0.04704881860807203,1.0,1.0,2,0.950451181391928
oos-2025-followups,news_off_n100,flow_unweighted,2025-01-03,0.02687626774847862,0.02687626774847862,0.0,1.0,2,0.9759957618248752
oos-2025-followups,news_off_n100,flow_unweighted,2025-01-06,-0.0024131274131273805,-0.0024131274131273805,0.0,1.0,2,0.9736405596969195
